,Rk,Date,H or A,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
58,57,2022-02-11,H,DEN,W (+6),1,39:07,4,17,.235,0,6,.000,4,7,.571,0,7,7,4,2,0,2,2,12,4.6,-1
59,58,2022-02-13,H,ATL,W (+10),1,37:38,6,16,.375,2,6,.333,3,4,.750,2,7,9,3,1,0,4,1,17,10.0,+5
60,59,2022-02-15,A,PHI,W (+48),1,29:02,10,17,.588,5,7,.714,4,6,.667,1,7,8,3,0,0,2,0,29,23.2,+32
61,60,2022-02-16,H,DET,L (-1),1,37:57,12,21,.571,3,6,.500,4,5,.800,0,2,2,6,1,0,2,3,31,23.3,-4
63,61,2022-02-24,A,BRK,W (+23),1,29:44,6,12,.500,1,5,.200,5,8,.625,0,1,1,6,1,1,1,3,18,14.8,+16
64,62,2022-02-26,A,DET,W (+9),1,35:47,10,24,.417,1,6,.167,6,6,1.000,1,2,3,0,0,0,3,4,27,10.9,+11
65,63,2022-02-27,A,IND,L (-21),1,35:13,10,16,.625,2,5,.400,1,4,.250,0,4,4,8,1,0,2,2,23,19.6,-13
66,64,2022-03-01,H,ATL,W (+9),1,2:48,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,2,1,2,0.3,+4
68,66,2022-03-06,H,BRK,W (+6),1,34:54,8,17,.471,3,6,.500,2,2,1.000,1,3,4,5,3,0,1,1,21,19.0,-3
69,67,2022-03-09,A,CHO,W (+14),1,36:18,6,16,.375,1,8,.125,2,5,.400,2,3,5,5,0,0,4,2,15,6.0,+1
70,68,2022-03-11,H,DET,W (+11),1,33:39,8,22,.364,1,8,.125,5,7,.714,2,6,8,4,1,0,3,3,22,11.8,+18
71,69,2022-03-13,H,DAL,L (-3),1,35:06,6,16,.375,2,7,.286,0,0,,1,4,5,4,1,0,3,2,14,7.1,-3
