,Rk,Date,H or A,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
72,70,2022-03-16,A,GSW,W (+22),1,36:49,6,16,.375,3,8,.375,11,12,.917,0,12,12,4,1,0,4,4,26,18.6,+17
73,71,2022-03-18,A,SAC,W (+29),1,34:09,12,16,.750,7,10,.700,1,1,1.000,0,5,5,4,0,0,2,1,32,27.5,+40
74,72,2022-03-20,A,DEN,W (+20),1,32:45,11,17,.647,6,10,.600,2,2,1.000,0,6,6,7,1,0,5,3,30,24.0,+22
75,73,2022-03-21,A,OKC,W (+9),1,38:50,11,19,.579,5,11,.455,9,9,1.000,0,7,7,6,2,1,3,1,36,32.7,+12
76,74,2022-03-23,H,UTA,W (+28),1,28:41,9,15,.600,5,8,.625,3,3,1.000,0,3,3,3,0,1,2,2,26,20.0,+16
77,75,2022-03-27,H,MIN,W (+22),1,33:43,12,21,.571,5,11,.455,5,5,1.000,0,5,5,6,1,1,3,1,34,28.1,+34
79,77,2022-03-30,H,MIA,L (-8),1,39:35,9,17,.529,0,5,.000,5,6,.833,1,4,5,6,2,0,4,4,23,16.8,-12
80,78,2022-04-01,H,IND,W (+5),1,37:13,10,24,.417,3,9,.333,8,10,.800,2,4,6,6,1,1,1,0,31,24.9,-1
81,79,2022-04-03,H,WAS,W (+42),1,29:09,9,17,.529,1,5,.200,3,6,.500,2,4,6,7,2,1,2,3,22,19.5,+22
82,80,2022-04-06,A,CHI,W (+23),1,30:09,5,18,.278,1,8,.125,5,7,.714,0,10,10,8,2,1,2,1,16,13.5,+22
85,82,2022-04-10,A,MEM,W (+29),1,26:03,11,14,.786,6,8,.750,3,3,1.000,0,9,9,3,1,0,5,2,31,25.6,+29
